you	0.0
i	0.1496213275194015
to	0.39482956009297726
the	0.46198901368370204
a	0.7742828530978536
and	0.9343567597029464
that	1.0841995593019267
it	1.1467588556057737
of	1.303339177386049
me	1.3645410834782936
what	1.453205363517876
is	1.465894602309587
in	1.5230492644167037
this	1.587687836580382
know	1.62152038647717
i'm	1.6691884222586713
for	1.7308364003899936
no	1.7498207420268894
have	1.7589936867725102
my	1.7594402935189442
don't	1.7774991503059114
just	1.826349801248719
not	1.8352916473481695
do	1.8397875841785485
be	1.852015525744375
on	1.852938677355431
your	1.8718275367351342
was	1.8927293534765501
we	1.9053349412164864
it's	1.9328965968721266
with	1.9752284248032788
so	1.9781693081242595
but	2.0389990956441406
all	2.044216663169185
well	2.0638675465567355
are	2.080440878403178
he	2.0978933052877373
oh	2.1061198928208698
about	2.1474937490479453
right	2.1870176955623584
you're	2.1978620404673905
get	2.2655911948966114
here	2.2853436850962012
out	2.305658311446161
going	2.3092094573798803
like	2.3111960301247567
yeah	2.3115756589183825
if	2.3164991073270906
her	2.3527165291824805
she	2.4069997554695
can	2.4296847952189182
up	2.465872176522011
want	2.4755892596772977
think	2.479672588532803
that's	2.4821854351879646
now	2.4943694769773623
go	2.4944091174383862
him	2.5386726018127654
at	2.5713439956939323
how	2.6322977845201008
got	2.6532534173556295
there	2.658179277548927
one	2.6770934574376732
did	2.7384700839845557
why	2.7448023111999715
see	2.778276398596862
come	2.8207764931577555
good	2.8209001152862743
they	2.8717033485798544
really	2.884517789802384
as	2.8894191849165347
would	2.89323657412796
look	2.8999931563586907
when	2.9324029457470484
time	2.9358796583747093
will	2.937113255545841
okay	2.957406969445026
back	2.9636301383792403
can't	2.9717913711065775
mean	2.989486384236238
tell	2.991960827121507
i'll	2.9949480723461686
from	3.0147108109514082
hey	3.036165906670252
were	3.0459583256663563
he's	3.0559170863725242
could	3.060549788238476
didn't	3.0702501721517037
yes	3.086313061937667
his	3.0921695414449224
been	3.0969917872598267
or	3.100128774519134
something	3.106066969348816
who	3.1233337179496683
because	3.12767405913687
some	3.133309142520904
had	3.146614197713509
then	3.153563575611376
say	3.192314640268381
ok	3.1972057970433423
take	3.1992090831013362
an	3.1999312496322205
way	3.200694102739699
us	3.2067775572323356
little	3.2397862946104823
make	3.2766049665016777
need	3.279078013730383
gonna	3.299174341841391
never	3.307988893859721
we're	3.3360345774471947
too	3.339051240452674
love	3.347528026510121
she's	3.352167324250492
i've	3.367116693350958
sure	3.400960993508436
them	3.410600751106138
more	3.413751922996002
over	3.4196841437826233
our	3.4223125293402434
sorry	3.4233658209736726
where	3.436601011140347
what's	3.437236860338345
let	3.4486746217631437
thing	3.467823286193558
am	3.4759091931583277
maybe	3.4801759652376463
down	3.480415018587524
man	3.4881218261563003
has	3.4937594249802952
uh	3.5130587464618195
very	3.5211883124199828
by	3.539055901102695
there's	3.546350044437526
should	3.5581382244997446
anything	3.5637238661094965
said	3.5656601989544328
much	3.5743182616975475
any	3.5762752380643725
life	3.576596899007273
even	3.585321086701136
off	3.5855571375711945
please	3.5932295443110145
doing	3.6172154065892865
thank	3.651389025806625
give	3.6722493226768536
only	3.6876212688982863
thought	3.7003825011113514
help	3.713241629600085
two	3.714482969735666
talk	3.7470333511943528
people	3.75808819691157
god	3.7586143373330447
still	3.765444147370527
wait	3.779245319689893
into	3.7997258271247056
find	3.821792476231885
nothing	3.827978178911027
again	3.8325010269647537
things	3.8388295624012945
let's	3.845427980605561
doesn't	3.853342271406214
call	3.855118127951365
told	3.866230648568661
great	3.8724624193093367
before	3.8766386132285926
better	3.878495917510699
ever	3.8846456323828455
night	3.893720794113403
than	3.897140288544661
away	3.908161916384394
first	3.9095482005499758
believe	3.9218228266340978
other	3.933204995791998
feel	3.936804380249715
everything	3.942523006548186
work	3.9438311064034686
you've	3.952311842472387
fine	3.973398775804201
home	3.977408019855025
after	4.009307448401515
last	4.019138320156322
these	4.020778635829166
day	4.0239301148356725
keep	4.024753875808528
does	4.0298487850464655
put	4.035108555408149
around	4.036312036390288
stop	4.047958492452231
they're	4.0494590789002824
i'd	4.053597340155152
guy	4.058084088183095
long	4.059979284429307
isn't	4.073827937062595
always	4.084220277493742
listen	4.105781410358112
wanted	4.1091631521924565
mr.	4.110209829089168
guys	4.115209089613671
huh	4.119327215160386
those	4.120434969553624
big	4.1371490165991185
lot	4.1422336427407505
happened	4.149416579341876
thanks	4.151961043910835
won't	4.153261738665113
trying	4.15508555824781
kind	4.162519369049175
wrong	4.162834693836316
through	4.169267957956037
talking	4.170750302448977
made	4.170909255478691
new	4.171545320378754
being	4.18188491044051
guess	4.192278391007565
hi	4.20250754598272
care	4.215886224349618
bad	4.238646330088374
mom	4.245588036484032
remember	4.259849347770734
getting	4.2637373549897095
we'll	4.270856068678963
together	4.27103175899595
dad	4.2751987985087165
leave	4.276670209268289
mother	4.28394124889804
place	4.287447834762118
understand	4.291743784089746
wouldn't	4.298282695777507
actually	4.300089925185049
hear	4.303835247915211
baby	4.304380091588828
nice	4.318958409489432
father	4.321542390255357
else	4.322713531018549
stay	4.325616469964595
done	4.3353750705754415
wasn't	4.335562471019505
their	4.3418293336678415
course	4.344410142704254
might	4.350225582608266
mind	4.376561487100407
every	4.377473123550859
enough	4.379298893489436
try	4.384993185146393
hell	4.38788545035854
came	4.39111625790295
someone	4.398207781143572
you'll	4.403342323814589
own	4.410656074670141
family	4.416329082388179
whole	4.425992965954323
another	4.431616352052716
house	4.43734070300596
jack	4.446652145447879
yourself	4.448958629084407
idea	4.455135387685074
ask	4.455769257481274
